antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"'tipologia_Posible Operacion LA', 'segm_comercial_PERSONAL'","'motivo_ros_Posible Operacion LA', 'sociedad_ccial_civ_Sin Informacion'",0,1,0,1.0,1.512,0.072,inf,0.431
"'ctrl_terc_EXCLIENTE', 'pais_residencia1_COLOMBIA', 'riesgo_pais_origen_de_recursos_MEDIO'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.139,inf,0.764
"'ctrl_terc_EXCLIENTE', 'riesgo_pais_residencia_MEDIO'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.181,inf,0.846
"'ctrl_terc_EXCLIENTE', 'pais_residencia1_COLOMBIA'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.181,inf,0.845
"'tipologia_Posible Operacion LA', 'segm_comercial_PERSONAL'","'motivo_ros_Posible Operacion LA', 'tipo_cli_PERSONA NATURAL'",0,1,0,1.0,1.521,0.073,inf,0.435
"'ctrl_terc_EXCLIENTE', 'pais_residencia1_COLOMBIA'","'estado_cli_INACTIVO', 'riesgo_pais_residencia_MEDIO'",0,0,0,1.0,2.408,0.182,inf,0.849
"'ctrl_terc_EXCLIENTE', 'cv_MEDIO'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.168,inf,0.819
"'ctrl_terc_EXCLIENTE', 'riesgo_pais_residencia_MEDIO', 'cv_MEDIO'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.168,inf,0.819
"'ctrl_terc_EXCLIENTE', 'cv_MEDIO', 'pais_residencia1_COLOMBIA'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.168,inf,0.818
"'ctrl_terc_EXCLIENTE', 'riesgo_pais_residencia_MEDIO', 'pais_residencia1_COLOMBIA', 'cv_MEDIO'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.168,inf,0.818
"'ctrl_terc_EXCLIENTE', 'cv_MEDIO', 'pais_residencia1_COLOMBIA'","'estado_cli_INACTIVO', 'riesgo_pais_residencia_MEDIO'",0,0,0,1.0,2.408,0.169,inf,0.822
"'ctrl_terc_EXCLIENTE', 'riesgo_pais_origen_de_recursos_MEDIO'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.139,inf,0.765
"'ctrl_terc_EXCLIENTE', 'riesgo_pais_residencia_MEDIO', 'riesgo_pais_origen_de_recursos_MEDIO'",'estado_cli_INACTIVO',0,0,0,1.0,2.393,0.139,inf,0.765
